ID,TIMESTAMP,L0013,L0002,L0005,L0008,ZD_P,FD_R,L0014,L0015,L0016,L0018,L0019,L0020,L0039,L0040,L0041,L0042,L0049,L0050,L0070,L0069,L0064,L0052,L0057,L0058,L0059,L0054,L0055,L0056,L0136,L0137,L0138,L0139,L0140,L0141,L0142,L0143,L0144,L0145,L0146,L0147
37652419,1655213363786 ,308.8831,0,154.6007,5.121528,4547.376998,159.722228,94.22,93.15,91.67,54.18,2.074291,2.074291,-267.6504,204.8611,-406.8291,197.338,3229.311,10.14178,-3566.551,100.71,353.3246,97.3669,143.7711,86.77454,175.3185,40.95486,41.30209,41.94445,1.75926,1.111112,1.498842,56.75347,59.65278,56.84028,131.6917,158.0018,144.4919,2.181712,2.181712,2.233796
37652420,1655213365785 ,302.228,0,154.6875,5.208333,4449.400616,159.895833,94.22,93.15,91.7,54.18,2.117694,2.117694,-305.2666,204.5139,-380.4971,197.0486,3208.622,7.913774,-3551.504,100.71,354.7859,94.3287,144.4362,68.20602,174.0148,41.75347,41.875,41.49305,1.799768,1.168982,1.527778,55.57292,54.1493,56.97917,127.7535,157.5042,144.0509,2.251158,2.222222,2.251158
37652421,1655213367786 ,302.5174,0,154.8611,5.121528,4453.661163,159.982628,94.22,93.15,91.7,54.18,2.016421,2.016421,-305.2666,205.2083,-395.5439,197.0486,3216.146,10.48901,-3566.551,100.71,355.3704,96.20949,132.9969,90.16202,174.963,43.17709,42.13541,41.38889,1.753472,1.09375,1.493055,58.52431,53.76736,54.35764,130.379,157.3383,144.0509,2.1875,2.158565,2.222222
37652422,1655213369786 ,297.4537,0,155.9896,5.208333,4379.113371,161.197933,94.22,93.15,91.7,54.18,2.074291,2.074291,-275.1738,204.8611,-388.0205,197.9167,3219.907,11.12558,-3551.504,100.82,354.7859,96.49884,136.3223,93.04767,171.0519,42.27431,41.68403,42.34375,1.77662,1.15162,1.539352,58.76736,53.33333,54.84375,128.0817,161.4854,143.7569,2.239584,2.204862,2.239584
37652423,1655213371786 ,319.8784,0,155.7292,5.208333,4709.249805,160.937533,94.22,93.17,91.67,54.18,2.084418,2.084418,-293.9814,205.2083,-380.4971,197.9167,3214.265,9.273726,-3551.504,100.82,351.8634,97.29456,144.9683,90.91483,171.0519,41.44097,40.69444,42.37847,1.782408,1.13426,1.493055,57.82986,53.31597,55.38194,129.3944,157.5042,142.728,2.204862,2.158565,2.233796
37652424,1655213373786 ,308.3044,0,154.6007,5.208333,4538.857377,159.809033,94.25,93.15,91.67,54.18,2.045356,2.045356,-260.1279,205.5556,-380.4971,197.9167,3234.954,9.100116,-3555.267,100.82,348.941,95.99248,142.8401,74.98102,174.6074,41.77084,42.10069,41.04167,1.747685,1.122685,1.510416,57.5,53.73264,55.19097,130.0508,158.0018,144.0509,2.204862,2.164352,2.233796
37652425,1655213375786 ,306.8576,0,155.2952,5.208333,4517.557587,160.503533,94.25,93.15,91.67,54.18,1.973018,1.973018,-305.2666,205.2083,-406.8291,197.9167,3210.503,9.43287,-3566.551,100.82,347.772,95.92014,130.3366,92.6713,175.5556,42.74306,41.73611,41.30209,1.805555,1.15162,1.52199,57.72569,59.32292,55.79861,128.9021,158.4995,141.1111,2.222222,2.164352,2.239584
37652426,1655213377786 ,297.5984,0,153.7326,5.208333,4381.243645,158.940933,94.22,93.15,91.7,54.18,2.030888,2.030888,-305.2666,206.25,-410.5898,197.9167,3208.623,9.693287,-3566.551,100.82,349.2332,96.57117,141.909,92.42038,158.4889,42.34375,41.16319,42.13541,1.799768,1.163195,1.527778,58.40278,58.87153,56.61458,128.4099,159.3289,143.904,2.268518,2.210648,2.24537
37652427,1655213379787 ,298.9005,0,155.7292,5.208333,4400.413161,160.937533,94.22,93.17,91.72,54.18,2.190032,2.190032,-286.458,205.5556,-395.5439,198.4954,3229.312,9.548612,-3570.313,100.82,351.8634,96.71586,144.5692,83.76343,170.8148,41.90972,42.20486,41.64931,1.77662,1.13426,1.527778,55.76389,57.88195,56.66666,129.5585,158.0018,145.9618,2.239584,2.181712,2.24537
37652428,1655213381786 ,309.7512,0,154.8611,5.121528,4560.157166,159.982628,94.25,93.17,91.67,54.18,2.091652,2.091652,-263.8887,206.25,-388.0205,198.4954,3244.358,9.201388,-3570.313,100.82,353.3246,96.13715,140.5788,88.65646,175.2,42.36111,41.85764,40.86806,1.846065,1.168982,1.550926,56.37153,59.39236,56.52778,126.933,160.4901,147.8727,2.239584,2.204862,2.24537
37652429,1655213383786 ,302.3727,0,155.5556,5.208333,4451.530889,160.763933,94.25,93.17,91.67,54.18,2.017867,2.017867,-286.458,206.25,-369.2129,198.4954,3238.715,9.114584,-3570.313,100.94,351.8634,96.20949,130.8687,89.03287,175.0815,42.51736,42.46528,41.70139,1.788195,1.163195,1.527778,56.61458,60,56.35417,131.0353,159.9924,147.7257,2.239584,2.181712,2.251158
37652430,1655213385786 ,298.7558,0,154.4271,5.121528,4398.282888,159.548628,94.25,93.17,91.7,54.18,2.146629,2.146629,-293.9814,206.25,-372.9746,198.4954,3233.073,9.244791,-3566.551,100.94,350.6944,97.22222,140.4458,91.41669,156.237,42.11806,41.30209,42.01389,1.811342,1.15162,1.493055,56.05903,53.64583,56.70139,130.5431,157.3383,144.9329,2.222222,2.164352,2.239584
37652431,1655213387786 ,285.5903,0,155.4688,5.121528,4204.460397,160.590328,94.25,93.17,91.7,54.18,2.218967,2.218967,-305.2666,206.5972,-361.6904,198.4954,3218.025,10.70602,-3551.504,100.94,350.6944,95.92014,145.7664,74.60461,172.7111,41.85764,42.82986,41.35417,1.75926,1.140046,1.516204,56.0243,55.36459,56.45833,130.379,156.8406,145.2268,2.1875,2.181712,2.251158
37652432,1655213389786 ,295.2836,0,154.6007,5.208333,4347.165159,159.809033,94.22,93.17,91.72,54.18,2.218967,2.218967,-278.9346,206.5972,-372.9746,198.4954,3240.596,9.331597,-3566.551,100.94,351.8634,95.05209,141.5099,89.53473,179.9408,42.8993,41.78819,41.59722,1.782408,1.140046,1.539352,56.35417,60,56.18056,128.0817,158.4995,147.5787,2.274305,2.193288,2.239584
37652433,1655213391786 ,300.4919,0,155.816,5.121528,4423.841752,160.937528,94.25,93.17,91.7,54.18,2.146629,2.146629,-293.9814,206.9444,-361.6904,199.3634,3246.238,10.27199,-3574.074,100.94,354.7859,95.77546,146.9635,91.16574,165.7185,41.38889,41.68403,42.55208,1.828704,1.15162,1.52199,58.66319,55.45139,56.75347,128.5739,157.67,146.8438,2.233796,2.204862,2.262732
37652434,1655213393786 ,303.3854,0,154.8611,5.121528,4466.439859,159.982628,94.25,93.2,91.7,54.18,2.143735,2.143735,-286.458,206.9444,-357.9277,199.3634,3233.074,10.43113,-3555.267,100.94,354.7859,97.65625,139.6477,89.28378,165.4815,40.78125,41.94445,43.125,1.770834,1.145834,1.527778,58.28125,56.52778,57.03125,131.3635,157.1724,143.169,2.216435,2.158565,2.24537
37652435,1655213395786 ,300.0579,0,155.7292,5.121528,4417.452404,160.850728,94.25,93.17,91.72,54.21,2.305773,2.305773,-286.458,206.9444,-388.0205,198.7847,3229.312,9.85243,-3566.551,101.05,350.6944,96.86053,144.9683,78.36853,172.8296,41.52778,43.22917,41.94445,1.828704,1.174768,1.510416,57.84722,56.26736,57.04861,128.738,156.8406,144.0509,2.222222,2.175926,2.262732
37652436,1655213397786 ,300.3472,0,155.5556,5.121528,4421.711478,160.677128,94.27,93.2,91.7,54.18,2.218967,2.218967,-301.5039,207.2917,-418.1133,198.7847,3199.219,11.45833,-3559.027,101.05,349.2332,95.8478,133.13,90.66391,180.2963,43.29861,40.3125,41.12847,1.782408,1.163195,1.539352,60,60,55.10417,128.0817,158.3336,143.022,2.239584,2.193288,2.251158
37652437,1655213399786 ,297.5984,0,155.0347,5.121528,4381.243645,160.156228,94.25,93.2,91.72,54.21,2.175564,2.175564,-248.8428,206.9444,-391.7822,198.7847,3253.762,11.60301,-3574.074,101.05,349.2332,96.49884,140.1797,93.92593,165.8371,42.46528,41.66666,43.17709,1.799768,1.122685,1.545138,58.87153,54.89584,55.55555,123.4871,159.9924,144.4919,2.222222,2.222222,2.262732
37652438,1655213401786 ,293.9815,0,154.6007,5.121528,4327.995643,159.722228,94.25,93.2,91.72,54.21,2.218967,2.218967,-316.5508,207.9861,-395.5439,199.6528,3218.027,8.420138,-3574.074,101.05,350.6944,97.22222,144.3032,89.9111,171.0519,41.92708,42.20486,42.20486,1.788195,1.163195,1.527778,58.28125,52.89931,56.59722,128.0817,157.3383,145.2268,2.262732,2.204862,2.262732
37652439,1655213403786 ,298.6111,0,154.6007,5.121528,4396.152614,159.722228,94.25,93.2,91.7,54.18,2.169777,2.169777,-278.9346,207.2917,-406.8291,199.6528,3231.192,9.606482,-3574.074,101.05,353.3246,94.47337,141.909,78.7449,173.3037,42.72569,42.44792,42.11806,1.788195,1.116898,1.52199,56.31944,54.0625,56.75347,129.7226,157.67,145.9618,2.222222,2.204862,2.262732
37652440,1655213405787 ,288.1945,0,156.5972,5.208333,4242.799429,161.805533,94.27,93.2,91.7,54.18,2.242115,2.242115,-275.1738,207.9861,-372.9746,199.9421,3253.762,9.215857,-3577.836,101.17,353.3246,96.57117,125.8141,91.16574,174.6074,43.33333,41.12847,41.40625,1.863426,1.197916,1.539352,56.59722,54.20139,55.83334,131.8558,156.8406,143.904,2.268518,2.204862,2.262732
37652441,1655213407786 ,296.5857,0,155.0347,5.121528,4366.334675,160.156228,94.25,93.2,91.72,54.21,2.074291,2.074291,-320.3125,207.9861,-369.2129,199.9421,3229.312,9.722222,-3574.074,101.17,351.8634,96.35416,143.2391,91.16574,166.1926,42.44792,41.30209,43.09028,1.77662,1.116898,1.516204,56.28472,53.62847,56.51042,131.1994,157.5042,142.434,2.233796,2.152778,2.24537
37652442,1655213409787 ,294.9942,0,155.7292,5.121528,4342.904612,160.850728,94.25,93.2,91.75,54.21,2.218967,2.218967,-275.1738,207.9861,-361.6904,199.6528,3263.166,8.709491,-3577.836,101.17,349.8177,96.35416,141.5099,78.7449,173.5407,41.66666,42.11806,41.44097,1.840278,1.140046,1.516204,55.32986,60,57.44792,128.0817,159.3289,144.4919,2.24537,2.1875,2.251158
37652443,1655213411786 ,302.3727,0,155.2952,5.208333,4451.530889,160.503533,94.25,93.2,91.75,54.21,2.218967,2.218967,-282.6973,208.3333,-376.7363,199.6528,3244.357,10.18519,-3574.074,101.17,348.0642,96.64352,146.9635,89.66019,175.0815,42.82986,42.44792,41.44097,1.770834,1.13426,1.539352,55.57292,57.46528,56.05903,128.4099,156.5089,143.904,2.1875,2.210648,2.251158
37652444,1655213413787 ,296.007,0,154.5139,5.121528,4357.815054,159.635428,94.27,93.2,91.7,54.18,2.161097,2.161097,-275.1738,207.9861,-361.6904,200.2315,3248.119,9.563079,-3566.551,101.17,347.772,95.48611,129.2725,89.03287,176.9778,42.56944,41.44097,41.82292,1.770834,1.122685,1.52199,55.57292,60,54.86111,131.8558,158.0018,140.5232,2.233796,2.158565,2.222222
37652445,1655213415786 ,299.0451,0,155.7292,5.121528,4402.541962,160.850728,94.27,93.2,91.72,54.18,2.109014,2.109014,-297.7432,208.6806,-372.9746,200.2315,3238.715,11.84896,-3574.074,101.17,350.4022,97.43924,145.2343,94.05139,166.9037,41.99653,40.55555,42.70834,1.83449,1.140046,1.510416,57.4132,60,55.50347,131.3635,157.5042,144.9329,2.210648,2.1875,2.251158
37652446,1655213417786 ,290.7986,0,155.3819,5.208333,4281.136989,160.590233,94.27,93.2,91.72,54.21,2.161097,2.161097,-278.9346,208.3333,-369.2129,200.2315,3250,9.215857,-3574.074,101.28,352.1557,95.63079,144.9683,80.5014,166.9037,42.30903,42.43055,42.11806,1.75926,1.145834,1.498842,58.36805,60,57.11806,129.7226,157.67,143.904,2.210648,2.164352,2.24537
37652447,1655213419787 ,297.4537,0,155.0347,5.121528,4379.113371,160.156228,94.25,93.2,91.75,54.21,2.291305,2.291305,-286.458,208.3333,-395.5439,200.2315,3225.55,9.042245,-3566.551,101.28,354.2014,95.99248,142.574,86.77454,175.0815,42.46528,42.10069,41.77084,1.83449,1.163195,1.510416,55.45139,59.49653,55.45139,129.5585,158.1677,143.316,2.193288,2.233796,2.24537
37652448,1655213421787 ,291.3773,0,154.5139,5.121528,4289.656611,159.635428,94.25,93.2,91.75,54.21,2.074291,2.074291,-301.5039,208.6806,-376.7363,200.2315,3231.192,9.751158,-3570.313,101.28,354.7859,95.19676,145.1013,89.9111,173.7778,43.22917,42.08333,42.82986,1.782408,1.145834,1.539352,60,57.65625,56.875,129.7226,158.1677,141.9931,2.262732,2.193288,2.233796
37652449,1655213423787 ,297.5984,0,155.4688,5.121528,4381.243645,160.590328,94.27,93.2,91.72,54.18,2.218967,2.218967,-267.6504,208.6806,-369.2129,200.8102,3233.072,9.186921,-3551.504,101.28,353.3246,98.45197,138.9826,89.40924,166.7852,42.1875,40.92014,41.90972,1.782408,1.168982,1.516204,57.79514,54.16667,57.62153,131.8558,156.343,143.022,2.216435,2.181712,2.239584
37652450,1655213425786 ,294.4155,0,154.1667,5.208333,4334.384991,159.375033,94.27,93.2,91.72,54.18,2.392578,2.392578,-282.6973,209.0278,-361.6904,200.8102,3233.073,9.346065,-3555.267,101.4,350.9867,96.64352,146.5645,79.49768,169.8667,41.875,42.63889,41.85764,1.81713,1.140046,1.498842,60,54.40972,57.5,128.9021,156.8406,143.316,2.262732,2.1875,2.239584
