,real,fitted
131,4230.019261,4278.289
132,4285.397536,4286.1553
133,4662.392623,4309.2812
134,4168.251638,4208.0635
135,4336.515264,4322.6323
136,4195.940775,4286.9526
137,4396.152614,4317.093
138,4327.995643,4266.2075
139,4296.045959,4310.041
140,4247.058504,4291.033
141,4270.488567,4284.462
142,4604.884075,4274.7456
143,4315.215475,4224.105
144,4334.384991,4276.254
145,4230.019261,4268.5845
146,4161.860817,4326.311
147,4419.581205,4342.967
148,4279.006716,4291.075
149,4310.9564,4370.713
150,4336.515264,4386.5977
151,4187.421154,4372.37
152,4536.727103,4366.5684
153,4349.295433,4262.4185
154,4417.452404,4384.71
155,4355.683308,4341.899
156,4357.815054,4334.9453
157,4302.436779,4310.38
158,4438.750721,4365.1147
159,4285.397536,4333.222
160,4313.086674,4300.7056
161,4402.541962,4368.5093
162,4353.554507,4340.547
163,4443.011268,4337.284
164,4334.384991,4293.1064
165,4327.995643,4317.152
166,4176.771259,4293.213
167,4166.121364,4283.6665
168,4125.652058,4258.09
169,4423.841752,4293.506
170,4142.692773,4251.159
171,4176.771259,4286.7944
172,4502.648618,4311.652
173,4325.86537,4308.5767
174,4185.29088,4298.316
175,4210.849745,4318.9473
176,4517.557587,4326.268
177,4406.802509,4326.41
178,4342.904612,4320.917
179,4129.912605,4267.856
180,4400.413161,4335.63
181,4166.121364,4282.034
182,4398.282888,4388.1533
183,4257.708398,4247.797
184,4283.267263,4331.316
185,4251.31905,4341.741
186,4259.8372,4329.465
187,4151.212395,4307.7075
188,4492.000195,4383.0947
189,4296.045959,4313.713
190,4317.345748,4302.9014
191,4198.071049,4224.335
192,4236.408609,4301.216
193,4283.267263,4344.9917
194,4323.735096,4330.4893
195,4342.904612,4352.138
196,4332.254718,4302.236
197,4296.045959,4290.8
198,4238.538882,4311.8403
199,4217.239093,4297.5176
200,4291.786884,4305.877
201,4370.59375,4286.649
202,4251.31905,4261.7676
203,4502.648618,4355.7236
204,4157.601743,4333.415
205,4270.488567,4319.8354
206,4225.758714,4354.6807
207,4387.632993,4348.625
208,4487.739648,4341.5854
209,4387.632993,4320.9497
210,4502.648618,4373.5767
211,4300.306505,4361.6855
212,4492.000195,4405.6396
213,4317.345748,4350.763
214,4440.880995,4368.726
